identifier,formula,Species,spacegroup_number,spacegroup_symbol,volume_per_atom,bravais_lattice,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma,avg_coordination_number,avg_nn_distance,std_nn_distance,avg_en_diff,num_df_electrons_species,num_df_electrons_formula,electronegativity,atomic_radius,ionization_energy,electron_affinity,oxidation_states
mp-3074,KAgO,Ag,139,I4/mmm,22.00542582312006,tetragonal,5.448483189535678,7.475779789074681,7.475780825095334,82.3689255474526,68.62879014024868,68.6287888053828,2.0,2.051519288358848,1.5149763279551083e-07,1.51,20.0,20.0,1.93,1.6,7.576234,1.304473,"(1,)"
mp-6101,Ba3Nb6(Si2O13)2,Nb,189,P-62m,14.304503118672082,hexagonal,9.101150710112128,9.101150710112128,7.77703653,90.0,90.0,119.99999978273452,6.0,2.000548881128453,0.05228435976042342,1.8400000000000003,14.0,144.0,1.6,1.45,6.75885,0.917407,"(5,)"
mp-23926,K2HgH2Cl4O,Hg,55,Pbam,22.865682056137363,orthorhombic,8.482146,9.040825,11.926976,90.0,90.0,90.0,4.0,2.6219382342898436,0.18417496048226994,1.1600000000000001,44.0,44.0,2.0,1.5,10.437504,-0.52,"(1, 2)"
mp-23110,NaHg2IO2,Hg,180,P6_222,23.024459868902856,hexagonal,6.783890799792475,6.783890799792475,10.398571,90.0,90.0,120.00000779992557,2.0,2.0782488922129425,1.2486294295671032e-07,1.4399999999999997,44.0,108.0,2.0,1.5,10.437504,-0.52,"(1, 2)"
mp-8603,RbAgO,Ag,139,I4/mmm,24.394527597193242,tetragonal,5.798611434676445,7.673778356585914,7.673781258489067,81.80097330948286,67.8049182141605,67.8049150229877,2.0,2.051001229570272,0.00023108291269457925,1.51,20.0,30.0,1.93,1.6,7.576234,1.304473,"(1,)"
mp-4691,Ag2CO3,Ag,11,P2_1/m,12.503451779203736,monoclinic,3.1680866919450303,4.9152003959364805,9.658440389999999,90.0,90.0,93.95237961414375,4.0,2.3329927274810522,0.11266349292770886,1.51,20.0,40.0,1.93,1.6,7.576234,1.304473,"(1,)"
mp-20930,InCuO2,Cu,166,R-3m,13.725640820601951,rhombohedral,6.088805542967407,6.088805562632503,6.088807059201709,31.559521459606895,31.55952463236882,31.55952312933605,2.0,1.8309998676191566,2.220446049250313e-16,1.54,10.0,30.0,1.9,1.35,7.72638,1.235784,"(2,)"
mp-1229124,Ag3AsO4,Ag,161,R3c,14.479741029904886,rhombohedral,6.141787513626935,6.141787513626935,6.141786620989447,89.86669459292749,89.86669459292749,89.86668280495157,4.0,2.3826633862330517,0.09941384602023048,1.51,20.0,70.0,1.93,1.6,7.576234,1.304473,"(1,)"
mp-20222,Sr2NbInO6,Nb,14,P2_1/c,13.930892333005598,monoclinic,5.851394,5.7971509999999995,10.05942298504293,54.737016409032556,90.0,90.0,6.0,2.0222762757593307,0.002191655437047558,1.8399999999999999,14.0,54.0,1.6,1.45,6.75885,0.917407,"(5,)"
mp-23644,Hg3AsClO4,Hg,198,P2_13,17.949947094915743,cubic,8.645469,8.645469,8.645469,90.0,90.0,90.0,2.0,2.343205848686645,0.06145587148887437,1.4400000000000002,44.0,142.0,2.0,1.5,10.437504,-0.52,"(1, 2)"
