identifier,formula,Species,spacegroup_number,spacegroup_symbol,volume_per_atom,bravais_lattice,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma,avg_nn_dist,sum_atn_nn,avg_en_formula,electronegativity,ionization_energy,electron_affinity,oxidation_states
mp-1017,Zr3O,Zr,182,P6_322,17.94858062764473,hexagonal,5.6499886600002664,5.649984058230406,5.19391355000039,90.00004560836186,89.99997208140533,120.00001136598188,2.616,576,1.8575,1.33,6.634126,0.433289,"(4,)"
mp-1017466,SrMnO3,Mn,47,Pmmm,11.582469148055758,orthorhombic,3.9030910016987814,8.625713699270745,7.685468003668026,63.5439485067142,89.99659717929033,89.99864260330551,1.92575,128,2.564,1.55,7.434038,-0.52,"(2, 4, 7)"
mp-1021512,LuO3,Lu,204,Im-3,12.938937801995122,cubic,6.454760998433017,6.454760998433017,6.454760998433017,109.47122063449068,109.47122063449068,109.47122063449068,2.232,128,2.8975,1.27,5.425871,0.23887,"(3,)"
mp-10390,Ta2O5,Ta,15,C2/c,12.00892097923963,monoclinic,4.867753264291445,5.537789153209835,6.8681238710957855,102.8936358029259,110.75501429749224,89.99999771632652,1.935,128,2.8857142857142857,1.5,7.549571,0.32885923,"(5,)"
mp-1065190,AgO,Ag,15,C2/c,14.407143632799936,monoclinic,3.227700170233032,3.227700170233032,5.555434169092397,87.16410591837989,87.16410591837989,86.38679503484887,2.4058,126,2.685,1.93,7.576234,1.304473,"(1,)"
mp-1066856,AgO,Ag,15,C2/c,15.11543311971984,monoclinic,3.2988765459381773,3.2988765459381773,5.645652514213746,86.68111886816187,86.68111886816187,80.73061485686883,2.4392,126,2.685,1.93,7.576234,1.304473,"(1,)"
mp-1070440,VPbO3,V,221,Pm-3m,12.16354157168672,cubic,3.932572,3.932572,3.932572,90.0,90.0,90.0,2.326,106,2.8560000000000003,1.63,6.746187,0.527662,"(5,)"
mp-1071505,Sr2FeO3,Fe,71,Immm,14.964135204831772,orthorhombic,5.292162649694506,13.365445214272444,5.292162543231483,79.67474282419049,84.52266892110221,100.32525950031754,1.985,128,2.341666666666667,1.83,7.9024681,0.15323635,"(2, 3)"
mp-10734,Ti4O5,Ti,87,I4/m,10.081964059466086,tetragonal,4.150570958279578,5.115496203932041,5.115496350704971,80.52709570883806,66.06587874529853,66.06587168735533,2.069,128,2.5955555555555554,1.54,6.82812,0.075545,"(4,)"
mp-1077866,BaZnBO3F,Zn,174,P-6,14.192690934484393,hexagonal,5.127238554906724,5.127238554906724,4.363803,90.0,90.0,120.00000716025446,2.029,33,2.697142857142857,1.65,9.394197,-0.62,"(2,)"
