identifier,id,formula,Species,U(eV),UErr(eV),J(eV),JErr(eV)
mp-3074,61ee26dc397071236e251693,KAgO,Ag,2.91902,0.0920073,0.74767,0.0412585
mp-6101,61ee26dc397071236e25169a,Ba3Nb6(Si2O13)2,Nb,0.520925,0.0216027,0.16542,0.0105223
mp-23926,61ee26dc6b5f3ffa9e3b0a3f,K2HgH2Cl4O,Hg,0.346278,0.0960956,0.566412,0.0667946
mp-23110,61ee26dc6b5f3ffa9e3b0a4b,NaHg2IO2,Hg,0.662442,0.0602997,0.201613,0.0
mp-8603,61ee26dd397071236e2516a6,RbAgO,Ag,3.26797,0.092182,0.829373,0.0415204
mp-4691,61ee26dd397071236e2516aa,Ag2CO3,Ag,2.79041,0.0989146,0.800377,0.0439796
mp-20930,61ee26dd6b5f3ffa9e3b0a52,InCuO2,Cu,7.08484,0.148064,1.53964,0.0402361
mp-1229124,61ee26de397071236e2516b6,Ag3AsO4,Ag,2.40385,0.127687,0.739265,0.0715823
mp-20222,61ee26de397071236e2516b7,Sr2NbInO6,Nb,0.524074,0.0209258,0.156825,0.0102548
mp-23644,61ee26de6b5f3ffa9e3b0a6b,Hg3AsClO4,Hg,0.541796,0.0903936,0.566412,0.0619202
mp-6090,61ee26de6b5f3ffa9e3b0a72,Na2Cu(CO3)2,Cu,7.37668,0.269314,0.593401,0.0980391
mp-5072,61ee26de6b5f3ffa9e3b0a73,Rb2HgO2,Hg,0.506757,0.0488059,0.436047,0.0
mp-6031,61ee26df397071236e2516cb,Li16Nb2N8O,Nb,0.441547,0.0145143,0.156937,0.00841131
mp-1078295,61ee26e0397071236e2516de,NaNbO3,Nb,0.485273,0.0198518,0.168987,0.00994703
mp-557830,61ee26e0397071236e2516df,Na2Bi5AuO11,Au,1.35984,0.0304298,0.444173,0.0161392
mp-15170,61ee26e06b5f3ffa9e3b0a87,Lu2Sn2O7,Lu,0.570055,0.0651892,0.352014,0.0464693
mp-935811,61ee26e1397071236e2516fa,KNbO3,Nb,0.47349,0.0186546,0.18909,0.00884157
mp-1079292,61ee26e16b5f3ffa9e3b0a8e,CuPb2(ClO2)2,Cu,7.38095,0.301829,0.875632,0.0272571
mp-20046,61ee26e2397071236e25170b,LiCoAsO4,Co,6.05409,0.411606,0.238769,0.0791771
mp-3612,61ee26e2397071236e25170e,NbSbO4,Nb,0.559372,0.0192104,0.183444,0.00951337
mp-19326,61ee26e26b5f3ffa9e3b0aa7,MnO2,Mn,5.03999,0.0895851,0.689968,0.0107043
mp-21877,61ee26e26b5f3ffa9e3b0aab,Mn2GeO4,Mn,4.36961,0.157276,0.208044,0.0657182
mp-644129,61ee26e3397071236e25171b,KNiPH2O5,Ni,5.29765,0.20792,-0.00551831,0.0615373
mp-1191317,61ee26e3397071236e25171e,Sr2CoGe2O7,Co,4.41053,0.143668,0.347221,0.0539238
mp-1105271,61ee26e36b5f3ffa9e3b0ac2,MnBiO3,Mn,5.74561,0.127375,0.443547,0.0166401
mp-19419,61ee26e36b5f3ffa9e3b0acb,LiFeO2,Fe,4.51269,0.0941653,0.955347,0.0144942
mp-18952,61ee26e46b5f3ffa9e3b0ad2,Ca4Mn2O7,Mn,4.88656,0.0790709,0.559882,0.0154005
mp-1196792,61ee26e46b5f3ffa9e3b0ad3,FePO6,Fe,4.14277,0.112592,-0.305401,0.0131058
mp-22427,61ee26e46b5f3ffa9e3b0adf,BaSr(FeO2)4,Fe,3.93738,0.0743722,-0.136212,0.0319718
mp-1078906,61ee26e5397071236e25172e,CoTe(PbO3)2,Co,6.05909,0.314621,0.425946,0.0388645
mp-22616,61ee26e5397071236e25173a,CoSeO3,Co,5.33918,0.164037,-0.0948067,0.0567071
mp-757019,61ee26e56b5f3ffa9e3b0af6,LiFePO4,Fe,4.74438,0.365215,0.201926,0.080552
mp-18762,61ee26e6397071236e251746,Na4CoO3,Co,5.2669,0.124539,0.543059,0.0155869
mp-24025,61ee26e6397071236e251747,NiH12(N3O2)2,Ni,6.1833,0.128808,0.808505,0.0107137
mp-20460,61ee26e6397071236e25174b,NiSeO3,Ni,6.20602,0.127976,0.535686,0.0497702
mp-558835,61ee26e6397071236e25174f,NaNiAsO4,Ni,5.42932,0.152929,0.504426,0.0455128
mp-1191677,61ee26e6397071236e251752,CoBr2(N3O)2,Co,5.27594,0.217134,0.844694,0.00507872
mp-1192289,61ee26e66b5f3ffa9e3b0afb,MnH2Cl2O,Mn,3.39719,0.155652,0.0435234,0.0951228
mp-21867,61ee26e66b5f3ffa9e3b0b02,NaFe(SiO3)2,Fe,4.33607,0.121384,-0.0956795,0.0258293
mp-22354,61ee26e66b5f3ffa9e3b0b03,Mn2Tl2O7,Mn,5.46482,0.121451,0.638845,0.0104433
mp-550206,61ee26e7397071236e251756,CoO2,Co,5.7629,0.137691,1.08236,0.00626302
mp-22417,61ee26e7397071236e251757,LiNiPO4,Ni,5.09435,0.147328,0.421884,0.0492893
mp-23968,61ee26e7397071236e251763,NiH2SeO5,Ni,5.58001,0.19569,0.471157,0.0736344
mp-19115,61ee26e76b5f3ffa9e3b0b06,CaFeO3,Fe,5.59543,0.445069,0.497815,0.00658916
mp-19201,61ee26e76b5f3ffa9e3b0b07,CaMnO3,Mn,5.20437,0.0896794,0.654856,0.00853998
mp-18881,61ee26e8397071236e25176f,KCr4O8,Cr,3.8676,0.101762,0.300275,0.00955883
mp-19770,61ee26e86b5f3ffa9e3b0b1a,Fe2O3,Fe,5.67902,0.20648,0.420212,0.0234597
mp-19349,61ee26e86b5f3ffa9e3b0b1b,NaMn(SiO3)2,Mn,5.57548,0.103178,0.550687,0.0184429
mp-1278892,61ee26e86b5f3ffa9e3b0b2b,Mn2Bi3O7,Mn,5.46387,0.093805,0.50547,0.022227
mp-18775,61ee26e96b5f3ffa9e3b0b36,Fe3PO7,Fe,3.906,0.135875,-0.327027,0.0732006
mp-6739,61ee26eb397071236e25178b,Ba2CaOsO6,Os,1.60467,0.258374,0.226213,0.0158392
mp-22614,61ee26eb6b5f3ffa9e3b0b57,NaFe(GeO3)2,Fe,4.11926,0.141053,-0.380053,0.0513998
mp-1017466,61ee26eb6b5f3ffa9e3b0b5e,SrMnO3,Mn,5.79542,0.281694,0.544791,0.0112097
mp-18890,61ee26eb6b5f3ffa9e3b0b5f,CaFe(SiO3)2,Fe,5.47866,0.141667,-0.870729,0.0577418
mp-18767,61ee26eb6b5f3ffa9e3b0b66,LiMnO2,Mn,5.24472,0.0967853,0.792307,0.0204077
mp-3315,61ee26ec397071236e2517a3,CaPd3O4,Pd,4.1154,0.0474959,0.622743,0.0111278
mp-21100,61ee26ec397071236e2517a6,CrBPbO4,Cr,3.16643,0.0576932,0.518795,0.0128648
mp-19314,61ee26ec6b5f3ffa9e3b0b6a,Mn4Be3Si3SO12,Mn,4.18934,0.230667,0.740869,0.0610181
